student_id,profile_type,week,lms_logins,submission_delay,attendance,sentiment_score,activity_variance,burnout_label,dropout_label
8,sudden_disengagement,12,3.15,19.68,50.51,-0.223,1.44,High,1
8,sudden_disengagement,13,5.35,17.65,39.03,-0.135,1.87,High,1
8,sudden_disengagement,14,12.42,14.81,51.19,0.035,3.05,Medium,1
8,sudden_disengagement,15,3.65,16.63,38.59,-0.069,3.78,High,1
8,sudden_disengagement,16,9.33,12.15,56.87,-0.014,4.51,Medium,1
9,consistent,1,20.86,0.38,91.59,0.734,2.13,Low,0
9,consistent,2,20.53,1.24,92.46,0.715,1.44,Low,0
9,consistent,3,22.81,3.86,92.26,0.793,3.18,Low,0
9,consistent,4,21.82,2.34,94.06,0.718,1.98,Low,0
9,consistent,5,20.47,0.0,91.34,0.637,4.72,Low,0
9,consistent,6,21.64,0.52,90.26,0.695,4.85,Low,0
9,consistent,7,23.08,0.59,91.87,0.696,1.0,Low,0
9,consistent,8,24.13,0.0,93.18,0.65,1.34,Low,0
9,consistent,9,22.31,0.0,86.47,0.623,1.04,Low,0
9,consistent,10,20.56,2.51,92.72,0.688,2.57,Low,0
9,consistent,11,22.11,0.0,90.04,0.76,4.08,Low,0
9,consistent,12,22.5,0.0,95.08,0.707,1.3,Low,0
9,consistent,13,19.83,2.34,97.88,0.884,2.53,Low,0
9,consistent,14,23.27,0.0,90.78,0.589,4.78,Low,0
9,consistent,15,23.6,1.8,92.47,0.662,4.09,Low,0
9,consistent,16,20.03,0.0,91.09,0.655,2.28,Low,0
10,sudden_disengagement,1,16.67,0.0,95.89,0.476,1.81,Low,0
10,sudden_disengagement,2,22.25,1.15,80.75,0.435,4.87,Low,0
10,sudden_disengagement,3,18.68,0.0,84.17,0.521,3.23,Low,0
10,sudden_disengagement,4,17.85,0.0,86.8,0.576,3.36,Low,0
10,sudden_disengagement,5,19.59,0.0,88.07,0.343,3.72,Low,0
10,sudden_disengagement,6,19.66,1.93,87.98,0.588,4.03,Low,0
10,sudden_disengagement,7,20.88,0.0,90.73,0.465,2.93,Low,0
10,sudden_disengagement,8,17.78,0.25,84.76,0.383,4.53,Low,0
10,sudden_disengagement,9,16.23,1.96,84.87,0.516,1.16,Low,0
10,sudden_disengagement,10,9.75,8.3,55.79,-0.401,4.74,Medium,0
10,sudden_disengagement,11,11.63,22.27,42.39,-0.228,4.14,High,1
10,sudden_disengagement,12,6.93,11.17,32.24,-0.042,3.46,High,1
10,sudden_disengagement,13,3.92,14.94,38.65,-0.355,3.17,High,1
10,sudden_disengagement,14,2.99,13.48,27.51,-0.114,4.84,High,1
10,sudden_disengagement,15,5.44,18.32,53.59,-0.112,3.35,Medium,1
10,sudden_disengagement,16,5.11,13.63,40.32,-0.493,2.86,High,1
11,sudden_disengagement,1,15.23,0.0,91.31,0.601,1.28,Low,0
11,sudden_disengagement,2,16.21,6.08,86.55,0.399,3.32,Low,0
11,sudden_disengagement,3,16.63,0.21,87.8,0.671,2.6,Low,0
11,sudden_disengagement,4,21.43,0.05,91.59,0.508,1.94,Low,0
11,sudden_disengagement,5,17.7,1.68,89.96,0.368,3.68,Low,0
11,sudden_disengagement,6,17.67,4.04,83.54,0.575,2.01,Low,0
11,sudden_disengagement,7,15.41,0.0,82.44,0.684,3.13,Low,0
11,sudden_disengagement,8,19.41,5.05,89.88,0.547,3.23,Low,0
11,sudden_disengagement,9,3.07,23.11,28.87,-0.087,3.75,High,1
11,sudden_disengagement,10,1.94,15.48,40.12,0.084,3.13,High,1
11,sudden_disengagement,11,2.59,15.5,31.07,-0.487,1.62,High,1
11,sudden_disengagement,12,4.34,15.78,51.82,-0.251,4.07,High,1
11,sudden_disengagement,13,5.69,20.07,52.29,-0.281,3.42,Medium,1
11,sudden_disengagement,14,4.22,23.4,47.18,-0.391,4.06,High,1
11,sudden_disengagement,15,8.51,18.94,36.35,-0.465,3.6,High,1
11,sudden_disengagement,16,6.53,21.09,36.06,0.007,2.78,High,1
12,consistent,1,15.5,2.12,92.0,0.684,2.92,Low,0
12,consistent,2,17.22,4.05,89.12,0.816,3.43,Low,0
12,consistent,3,21.36,1.5,95.78,0.611,4.71,Low,0
12,consistent,4,18.49,0.0,93.21,0.562,2.14,Low,0
12,consistent,5,21.94,0.0,92.2,0.611,3.44,Low,0
12,consistent,6,18.02,0.04,96.87,0.549,1.72,Low,0
12,consistent,7,18.06,5.7,95.7,0.594,1.43,Low,0
12,consistent,8,16.81,1.97,95.37,0.627,4.22,Low,0
12,consistent,9,18.84,2.95,94.24,0.586,3.41,Low,0
12,consistent,10,20.1,0.6,94.17,0.505,3.44,Low,0
12,consistent,11,22.3,1.45,93.15,0.647,1.95,Low,0
12,consistent,12,18.56,1.41,96.74,0.696,3.67,Low,0
12,consistent,13,20.48,6.45,91.71,0.448,1.67,Low,0
12,consistent,14,21.27,1.63,95.29,0.559,1.09,Low,0
12,consistent,15,22.45,0.0,98.92,0.598,2.56,Low,0
12,consistent,16,19.82,0.4,100.0,0.736,2.71,Low,0
13,sudden_disengagement,1,19.14,0.61,90.12,0.507,1.34,Low,0
13,sudden_disengagement,2,15.8,0.19,83.1,0.508,3.08,Low,0
13,sudden_disengagement,3,18.47,2.03,80.57,0.611,3.13,Low,0
13,sudden_disengagement,4,15.65,2.75,81.54,0.722,3.92,Low,0
13,sudden_disengagement,5,16.59,2.48,85.07,0.535,1.7,Low,0
13,sudden_disengagement,6,16.02,0.0,87.13,0.536,2.8,Low,0
13,sudden_disengagement,7,16.53,3.55,88.95,0.588,4.71,Low,0
13,sudden_disengagement,8,16.93,1.51,81.02,0.605,4.37,Low,0
13,sudden_disengagement,9,22.64,1.75,86.42,0.497,1.51,Low,0
13,sudden_disengagement,10,4.43,17.04,42.9,-0.014,4.75,High,0
13,sudden_disengagement,11,6.37,15.32,40.86,-0.112,4.97,High,0
13,sudden_disengagement,12,5.79,21.81,34.4,0.029,2.22,High,0
13,sudden_disengagement,13,3.95,15.27,35.85,-0.273,1.53,High,0
13,sudden_disengagement,14,5.4,11.18,50.76,-0.269,1.59,Medium,0
13,sudden_disengagement,15,5.04,11.48,28.9,0.009,2.25,High,0
13,sudden_disengagement,16,6.5,10.49,32.96,-0.251,1.25,High,0
14,sudden_disengagement,1,17.87,1.2,86.94,0.431,1.4,Low,0
14,sudden_disengagement,2,18.22,2.26,88.69,0.502,4.26,Low,0
14,sudden_disengagement,3,15.93,2.94,90.91,0.731,2.7,Low,0
14,sudden_disengagement,4,16.27,0.0,87.5,0.322,4.31,Low,0
14,sudden_disengagement,5,20.76,1.88,90.46,0.484,2.93,Low,0
14,sudden_disengagement,6,17.91,0.0,89.35,0.52,1.05,Low,0
14,sudden_disengagement,7,17.01,0.0,88.08,0.708,4.38,Low,0
14,sudden_disengagement,8,18.95,1.05,85.38,0.413,3.95,Low,0
14,sudden_disengagement,9,6.18,18.17,37.02,-0.34,2.75,High,1
14,sudden_disengagement,10,9.08,13.81,46.88,-0.419,3.55,High,1
14,sudden_disengagement,11,6.31,16.66,33.38,-0.064,1.34,High,1
14,sudden_disengagement,12,3.83,15.05,25.44,-0.07,3.65,High,1
14,sudden_disengagement,13,2.94,14.14,33.7,-0.197,2.53,High,1
14,sudden_disengagement,14,5.49,16.8,36.16,-0.293,4.92,High,1
14,sudden_disengagement,15,4.38,20.53,42.94,-0.425,1.9,High,1
14,sudden_disengagement,16,4.77,16.95,37.05,-0.223,2.14,High,1
15,sudden_disengagement,1,20.43,3.95,88.46,0.528,3.62,Low,0
15,sudden_disengagement,2,18.36,2.98,84.99,0.389,4.27,Low,0
15,sudden_disengagement,3,18.06,3.16,84.4,0.527,3.17,Low,0
15,sudden_disengagement,4,18.48,3.31,96.68,0.278,3.76,Low,0
15,sudden_disengagement,5,18.66,0.93,91.58,0.502,2.85,Low,0
15,sudden_disengagement,6,17.58,1.02,86.32,0.513,3.22,Low,0
15,sudden_disengagement,7,19.44,1.15,93.22,0.343,4.14,Low,0
15,sudden_disengagement,8,4.03,19.54,28.75,-0.021,2.31,High,0
15,sudden_disengagement,9,2.5,22.12,28.53,-0.51,3.37,High,1
15,sudden_disengagement,10,1.96,18.03,41.45,0.209,3.57,High,1
15,sudden_disengagement,11,7.1,16.54,45.0,-0.243,4.3,High,1
15,sudden_disengagement,12,6.79,12.94,31.58,-0.065,2.76,High,1
15,sudden_disengagement,13,5.09,16.9,31.32,-0.032,2.68,High,1
15,sudden_disengagement,14,5.15,17.13,50.88,-0.096,1.74,Medium,1
15,sudden_disengagement,15,3.85,8.65,37.9,-0.041,4.76,High,1
15,sudden_disengagement,16,5.56,18.56,36.52,-0.754,1.53,High,1
16,consistent,1,23.07,4.19,97.52,0.651,2.89,Low,0
16,consistent,2,22.09,0.59,95.7,0.474,4.38,Low,0
16,consistent,3,22.56,4.83,97.11,0.871,2.38,Low,0
16,consistent,4,26.14,2.43,96.37,0.644,3.93,Low,0
16,consistent,5,21.87,2.21,98.97,0.761,4.31,Low,0
16,consistent,6,25.08,3.54,100.0,0.668,1.58,Low,0
16,consistent,7,22.32,0.19,100.0,0.561,4.79,Low,0
16,consistent,8,22.35,3.67,98.07,0.86,4.92,Low,0
16,consistent,9,23.02,5.61,94.37,0.689,3.2,Low,0
16,consistent,10,21.32,2.25,100.0,0.783,1.56,Low,0
16,consistent,11,21.75,5.99,100.0,0.642,2.16,Low,0
16,consistent,12,23.4,2.87,99.23,0.666,4.18,Low,0
16,consistent,13,19.73,2.99,98.45,0.775,4.03,Low,0
16,consistent,14,24.72,1.73,96.05,0.599,4.79,Low,0
16,consistent,15,27.17,6.39,99.7,0.87,1.38,Low,0
16,consistent,16,21.43,5.26,95.79,0.622,2.49,Low,0
17,gradual_burnout,1,17.23,5.94,81.39,0.419,3.31,Low,0
17,gradual_burnout,2,19.38,5.63,87.32,0.467,3.13,Low,0
17,gradual_burnout,3,17.97,2.82,83.17,0.589,4.43,Low,0
17,gradual_burnout,4,16.47,3.01,87.16,0.434,4.58,Low,0
17,gradual_burnout,5,16.39,4.38,89.4,0.486,4.94,Low,0
17,gradual_burnout,6,13.29,4.81,83.05,0.35,3.11,Low,0
17,gradual_burnout,7,15.6,5.29,81.34,0.469,3.84,Low,0
17,gradual_burnout,8,14.86,5.48,75.75,0.424,1.7,Low,0
17,gradual_burnout,9,12.77,8.79,77.41,0.289,3.6,Low,0
17,gradual_burnout,10,13.21,8.45,81.85,0.163,2.3,Low,0
17,gradual_burnout,11,13.44,8.11,80.96,-0.023,3.78,Low,0
17,gradual_burnout,12,14.34,8.26,76.39,0.344,3.66,Low,0
17,gradual_burnout,13,12.56,11.08,72.23,0.081,3.19,Low,0
17,gradual_burnout,14,11.32,6.19,74.66,0.17,4.64,Medium,0
17,gradual_burnout,15,7.32,5.86,77.0,-0.061,4.49,Medium,0
17,gradual_burnout,16,8.55,6.59,72.78,0.225,2.2,Medium,0
18,sudden_disengagement,1,22.8,4.98,86.61,0.486,1.14,Low,0
18,sudden_disengagement,2,21.14,1.65,89.45,0.575,1.38,Low,0
18,sudden_disengagement,3,21.53,4.82,87.89,0.82,2.72,Low,0
18,sudden_disengagement,4,19.69,4.53,80.48,0.688,4.57,Low,0
18,sudden_disengagement,5,25.21,5.95,82.63,0.726,3.81,Low,0
18,sudden_disengagement,6,21.15,3.02,81.16,0.467,2.95,Low,0
18,sudden_disengagement,7,11.52,19.3,50.63,-0.339,2.45,Medium,0
18,sudden_disengagement,8,3.37,11.9,26.72,-0.011,1.83,High,0
18,sudden_disengagement,9,8.54,14.55,24.2,0.214,2.17,High,0
18,sudden_disengagement,10,7.48,16.53,33.64,-0.255,2.97,High,0
18,sudden_disengagement,11,4.39,16.49,45.82,-0.105,3.86,High,0
18,sudden_disengagement,12,5.79,24.97,34.21,-0.337,1.46,High,1
18,sudden_disengagement,13,8.85,18.22,36.08,-0.026,3.67,High,1
18,sudden_disengagement,14,8.47,21.35,35.82,0.075,3.9,High,1
18,sudden_disengagement,15,1.31,19.53,47.13,-0.265,1.17,High,1
18,sudden_disengagement,16,6.66,15.65,41.48,-0.136,3.69,High,1
19,consistent,1,20.14,4.76,91.46,0.381,1.4,Low,0
19,consistent,2,21.46,2.92,97.7,0.097,3.05,Low,0
19,consistent,3,22.9,1.46,94.84,0.379,3.07,Low,0
19,consistent,4,24.55,0.04,96.43,0.357,4.39,Low,0
19,consistent,5,24.44,4.8,98.26,0.539,1.42,Low,0
19,consistent,6,19.77,1.54,98.22,0.32,4.7,Low,0
19,consistent,7,18.47,0.09,93.57,0.291,2.95,Low,0
19,consistent,8,22.09,0.0,97.77,0.19,2.9,Low,0
19,consistent,9,22.25,0.05,97.88,0.345,3.43,Low,0
19,consistent,10,21.96,0.0,99.12,0.348,1.99,Low,0
19,consistent,11,21.13,2.86,100.0,0.421,1.71,Low,0
19,consistent,12,26.07,3.04,98.18,0.285,3.18,Low,0
19,consistent,13,22.59,0.73,94.38,0.392,4.13,Low,0
19,consistent,14,20.2,3.9,100.0,0.272,2.85,Low,0
19,consistent,15,20.61,2.68,99.29,0.412,4.63,Low,0
19,consistent,16,22.52,0.0,94.87,0.45,2.83,Low,0
20,consistent,1,24.24,1.13,95.75,0.674,2.93,Low,0
20,consistent,2,23.51,0.0,100.0,0.592,1.81,Low,0
20,consistent,3,21.81,0.0,100.0,0.99,3.31,Low,0
20,consistent,4,25.39,1.2,95.85,0.826,4.82,Low,0
20,consistent,5,22.61,0.0,96.4,0.79,4.39,Low,0
20,consistent,6,22.73,5.04,99.87,0.696,4.71,Low,0
20,consistent,7,22.96,2.62,95.69,0.771,3.77,Low,0
20,consistent,8,22.18,2.67,94.62,0.623,2.12,Low,0
20,consistent,9,24.91,1.82,98.4,0.728,3.96,Low,0
20,consistent,10,23.84,1.77,95.08,0.795,4.06,Low,0
20,consistent,11,23.7,0.32,100.0,0.588,1.31,Low,0
20,consistent,12,19.72,0.0,91.96,0.622,1.44,Low,0
20,consistent,13,19.21,0.38,97.5,0.595,4.18,Low,0
20,consistent,14,22.64,0.05,97.11,0.606,2.18,Low,0
20,consistent,15,21.46,2.03,94.04,0.657,2.29,Low,0
20,consistent,16,19.92,0.53,96.46,0.679,3.41,Low,0
21,gradual_burnout,1,14.73,2.19,94.66,0.517,3.55,Low,0
21,gradual_burnout,2,9.95,0.22,96.8,0.285,2.16,Medium,0
21,gradual_burnout,3,12.99,2.2,91.9,0.431,2.61,Low,0
21,gradual_burnout,4,16.11,0.44,93.83,0.234,1.41,Low,0
21,gradual_burnout,5,14.95,0.0,93.03,0.3,4.76,Low,0
21,gradual_burnout,6,16.39,4.66,89.58,0.344,4.77,Low,0
21,gradual_burnout,7,14.84,4.59,89.53,0.336,1.56,Low,0
21,gradual_burnout,8,13.92,7.54,84.4,0.21,5.0,Low,0
21,gradual_burnout,9,11.08,6.35,87.05,0.182,1.01,Medium,0
21,gradual_burnout,10,8.76,5.42,92.22,0.218,3.59,Medium,0
21,gradual_burnout,11,10.16,8.54,83.06,0.022,1.34,Medium,0
21,gradual_burnout,12,10.31,4.33,83.92,0.058,4.64,Medium,0
21,gradual_burnout,13,6.51,7.05,85.91,0.198,3.9,Medium,0
21,gradual_burnout,14,3.89,5.02,85.89,-0.15,4.43,High,0
21,gradual_burnout,15,7.65,3.84,82.25,-0.15,3.96,Medium,0
21,gradual_burnout,16,10.84,8.32,85.95,-0.062,3.19,Medium,0
22,sudden_disengagement,1,17.79,0.48,84.44,0.427,1.23,Low,0
22,sudden_disengagement,2,19.07,0.42,89.52,0.196,1.9,Low,0
22,sudden_disengagement,3,17.25,3.39,88.41,0.317,3.31,Low,0
22,sudden_disengagement,4,18.65,0.0,88.26,0.419,3.7,Low,0
22,sudden_disengagement,5,16.38,0.36,85.59,0.308,2.88,Low,0
22,sudden_disengagement,6,18.66,0.0,91.23,0.245,4.83,Low,0
22,sudden_disengagement,7,14.78,4.88,89.92,0.262,1.3,Low,0
22,sudden_disengagement,8,19.68,5.2,87.51,0.071,2.73,Low,0
22,sudden_disengagement,9,15.15,0.0,88.57,0.32,4.84,Low,0
22,sudden_disengagement,10,4.4,19.93,53.31,-0.757,3.37,High,1
22,sudden_disengagement,11,4.71,19.36,43.55,-0.285,2.91,High,1
22,sudden_disengagement,12,6.65,17.22,29.83,-0.416,1.05,High,1
22,sudden_disengagement,13,1.13,21.85,38.2,-0.399,3.92,High,1
22,sudden_disengagement,14,2.35,9.6,39.32,-0.636,4.68,High,1
22,sudden_disengagement,15,10.01,14.71,26.21,-0.324,4.15,High,1
22,sudden_disengagement,16,3.08,11.36,40.14,-0.564,1.16,High,1
23,consistent,1,21.37,0.0,85.64,0.504,2.31,Low,0
23,consistent,2,17.64,3.8,87.74,0.32,4.38,Low,0
23,consistent,3,20.84,0.0,85.62,0.356,2.02,Low,0
23,consistent,4,19.49,2.22,82.35,0.303,2.46,Low,0
23,consistent,5,19.35,0.23,86.13,0.326,4.31,Low,0
23,consistent,6,16.69,2.17,90.86,0.466,2.85,Low,0
23,consistent,7,17.67,5.38,89.22,0.578,3.36,Low,0
23,consistent,8,17.65,0.31,85.57,0.399,1.81,Low,0
23,consistent,9,17.94,0.85,86.56,0.238,3.93,Low,0
23,consistent,10,15.83,3.22,92.66,0.475,4.58,Low,0
23,consistent,11,16.86,0.81,89.43,0.297,2.35,Low,0
23,consistent,12,19.41,0.0,84.97,0.349,2.52,Low,0
23,consistent,13,20.99,0.0,85.71,0.348,3.51,Low,0
23,consistent,14,13.52,2.33,86.34,0.384,1.52,Low,0
23,consistent,15,20.91,0.34,88.16,0.389,4.89,Low,0
23,consistent,16,15.59,1.49,86.68,0.357,1.5,Low,0
24,chronic_low,1,2.4,15.19,53.19,-0.27,3.25,High,0
24,chronic_low,2,4.99,10.89,58.86,-0.402,4.14,High,0
24,chronic_low,3,3.58,12.95,61.19,-0.318,1.94,High,0
24,chronic_low,4,6.78,14.07,58.58,-0.358,1.21,Medium,0
24,chronic_low,5,9.13,10.36,61.21,-0.338,4.46,Medium,0
24,chronic_low,6,6.16,16.52,54.39,-0.578,3.29,High,1
24,chronic_low,7,7.64,12.5,49.11,-0.671,2.62,High,1
24,chronic_low,8,3.62,10.04,46.67,-0.066,3.69,High,1
24,chronic_low,9,2.04,16.62,57.87,-0.629,4.92,High,1
24,chronic_low,10,6.85,8.69,56.17,-0.641,2.59,High,1
24,chronic_low,11,5.24,8.0,49.68,-0.349,1.31,High,1
24,chronic_low,12,1.31,19.71,57.98,-0.21,3.83,High,1
24,chronic_low,13,1.42,18.37,62.31,-0.598,3.72,High,1
24,chronic_low,14,5.69,10.73,56.45,-0.294,1.75,Medium,1
24,chronic_low,15,0.06,17.38,54.83,-0.375,1.04,High,1
24,chronic_low,16,7.49,9.78,64.55,-0.249,3.95,Medium,1
25,consistent,1,23.51,0.0,92.43,0.209,3.39,Low,0
